"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.permutations_used"	"Answer.pretest_responses"	"Answer.pretest_responses_by_presented_order"	"Answer.posttest_responses"	"Answer.posttest_responses_by_presented_order"	"Answer.order_of_shapes"	"Answer.order_as_presented"	"Answer.guesses"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.training_time"	"Answer.all_answers_provided"	"Answer.questions_permuted"	"Answer.skip_check"	"Answer.training_regime"	"Answer.examples_to_show"	"Answer.shape_of_focus"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3OSWBBLG1EXI2UHS8PKEOCFJIRXXDM"	"A14W0AXTJ3R19V"	"Approved"	"Mon Jun 01 19:50:23 PDT 2015"	"Mon Jun 01 03:08:27 PDT 2015"	"Mon Jun 01 03:10:23 PDT 2015"	"Mon Jun 01 11:18:24 PDT 2015"	""	""	""	""	"[5,11,2,10,1,6,9,0,7,8,4,3]"	"[1,1,1,1,1,1,1,1,1,1,1,1]"	"[1,1,1,1,1,1,1,1,1,1,1,1]"	"[1,1,1,1,1,1,1,1,1,1,1,0]"	"[1,1,1,0,1,1,1,1,1,1,1,1]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""re,pa"",""pa,rh"",""sq,pa"",""pa,re"",""sq,rh"",""rh,sq"",""pa,sq"",""sq,re"",""rh,re"",""rh,pa"",""re,rh"",""re,sq""]"	"[[2,0],[1,2],[2,1]]"	"""Geometry"""	"""no"""	"""25"""	"""f"""	"40619"	"0"	"1"	"0"	"3"	"3"	"3"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3JNQLM5FT4M0ZQ2NXHX9HZTSERZ2LX"	"AFO62G37P0JBF"	"Approved"	"Mon Jun 01 19:51:02 PDT 2015"	"Mon Jun 01 03:08:44 PDT 2015"	"Mon Jun 01 03:11:02 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[7,3,10,0,8,5,4,6,9,1,11,2]"	"[1,0,1,1,1,0,1,1,1,1,0,1]"	"[1,1,1,0,1,0,1,1,1,1,1,0]"	"[1,0,1,1,1,0,0,1,0,1,0,1]"	"[1,1,1,0,0,0,1,1,1,0,1,0]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""rh,re"",""re,sq"",""pa,re"",""sq,re"",""rh,pa"",""re,pa"",""re,rh"",""rh,sq"",""pa,sq"",""sq,rh"",""pa,rh"",""sq,pa""]"	"[[0,1],[2,0],[3,2]]"	"""geometrical shapes"""	""""""	"""44"""	"""f"""	"39498"	"0"	"1"	"0"	"4"	"3"	"2"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3PB5A5BD0V6RZZLSS2HO0Y5STQZG7L"	"AUL3D2Y6Q7NSM"	"Approved"	"Mon Jun 01 19:52:07 PDT 2015"	"Mon Jun 01 03:09:20 PDT 2015"	"Mon Jun 01 03:12:07 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[0,6,2,7,9,4,8,1,5,11,10,3]"	"[0,0,0,1,1,1,0,1,1,1,0,0]"	"[0,1,0,0,1,1,0,1,0,1,0,1]"	"[0,0,0,0,1,1,0,1,0,1,1,0]"	"[0,1,0,0,1,0,0,0,0,1,1,1]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""sq,re"",""rh,sq"",""sq,pa"",""rh,re"",""pa,sq"",""re,rh"",""rh,pa"",""sq,rh"",""re,pa"",""pa,rh"",""pa,re"",""re,sq""]"	"[[0,1],[2,0],[3,2]]"	"""learning in controlled study"""	""""""	"""46"""	"""f"""	"39416"	"0"	"1"	"0"	"4"	"3"	"2"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"39ASUFLU6X7NU0VS4KVYUUX4I3YXEF"	"A2O3F9DAPTSG9L"	"Approved"	"Mon Jun 01 19:52:43 PDT 2015"	"Mon Jun 01 03:10:06 PDT 2015"	"Mon Jun 01 03:12:43 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[4,3,0,2,10,6,11,1,5,7,9,8]"	"[1,1,1,1,1,1,0,1,1,1,1,1]"	"[1,1,1,1,1,1,1,1,1,1,1,0]"	"[1,1,1,0,1,1,0,1,1,1,1,1]"	"[1,1,0,1,1,1,1,1,1,1,1,0]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""re,rh"",""re,sq"",""sq,re"",""sq,pa"",""pa,re"",""rh,sq"",""pa,rh"",""sq,rh"",""re,pa"",""rh,re"",""pa,sq"",""rh,pa""]"	"[[0,1],[2,0],[3,2]]"	"""How well we remember geometry"""	"""No, wish I knew the answers maybe"""	"""23"""	"""f"""	"23966"	"0"	"1"	"0"	"4"	"3"	"2"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3S0TNUHWKTISNTGK0H8M8DYQRIP8DQ"	"A28JXW5YZJDNK4"	"Approved"	"Mon Jun 01 19:52:46 PDT 2015"	"Mon Jun 01 03:09:21 PDT 2015"	"Mon Jun 01 03:12:46 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[7,9,1,3,4,6,10,11,5,0,2,8]"	"[1,0,1,0,1,1,1,1,1,1,1,1]"	"[1,1,1,0,1,1,1,1,1,0,1,1]"	"[1,0,0,0,1,0,1,1,1,1,1,0]"	"[1,0,1,0,1,1,0,1,0,0,1,1]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""rh,re"",""pa,sq"",""sq,rh"",""re,sq"",""re,rh"",""rh,sq"",""pa,re"",""pa,rh"",""re,pa"",""sq,re"",""sq,pa"",""rh,pa""]"	"[[2,1],[3,2],[3,0]]"	"""Whether geometric shapes are also other geometric shapes."""	""""""	"""52"""	"""f"""	"20847"	"0"	"1"	"0"	"3"	"3"	"3"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3UOUJI6MTDE4JWSEUKA3YCJ74RSUXT"	"A2YCMT5BPA0AG9"	"Approved"	"Mon Jun 01 19:52:47 PDT 2015"	"Mon Jun 01 03:10:18 PDT 2015"	"Mon Jun 01 03:12:47 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[11,4,9,5,6,1,7,8,2,0,3,10]"	"[0,1,1,1,1,0,0,0,1,1,0,1]"	"[1,0,1,0,1,1,1,0,0,1,1,0]"	"[0,0,1,1,0,0,0,1,1,1,0,1]"	"[1,0,1,0,0,1,0,0,1,1,1,0]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""pa,rh"",""re,rh"",""pa,sq"",""re,pa"",""rh,sq"",""sq,rh"",""rh,re"",""rh,pa"",""sq,pa"",""sq,re"",""re,sq"",""pa,re""]"	"[[2,0],[0,1],[3,2]]"	"""no idea"""	"""none"""	"""55"""	"""male"""	"35968"	"0"	"1"	"0"	"4"	"3"	"2"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3KWTYT08703SYNLAF0Z7F6W4Y1Q5L1"	"A12LI6GAHU6S2H"	"Approved"	"Mon Jun 01 19:53:15 PDT 2015"	"Mon Jun 01 03:10:38 PDT 2015"	"Mon Jun 01 03:13:15 PDT 2015"	"Mon Jun 01 11:18:25 PDT 2015"	""	""	""	""	"[3,10,9,7,8,4,5,2,11,0,6,1]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[1,1,1,1,0,0,1,1,1,0,1,1]"	"[0,1,1,1,0,1,1,1,0,1,1,1]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""re,sq"",""pa,re"",""pa,sq"",""rh,re"",""rh,pa"",""re,rh"",""re,pa"",""sq,pa"",""pa,rh"",""sq,re"",""rh,sq"",""sq,rh""]"	"[[3,0],[2,1],[3,2]]"	"""Geometry"""	"""no"""	"""29"""	"""f"""	"31318"	"0"	"1"	"0"	"3"	"3"	"3"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3IFS6Q0HJIJREOBF6TF2G1E4VH3SIB"	"A3FO0AK3PG8ZDK"	"Approved"	"Mon Jun 01 19:53:51 PDT 2015"	"Mon Jun 01 03:12:01 PDT 2015"	"Mon Jun 01 03:13:51 PDT 2015"	"Mon Jun 01 11:18:26 PDT 2015"	""	""	""	""	"[7,4,8,5,0,6,11,9,10,2,3,1]"	"[1,1,1,1,1,0,0,1,1,0,0,0]"	"[1,0,0,0,1,1,0,1,1,1,1,0]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""rh,re"",""re,rh"",""rh,pa"",""re,pa"",""sq,re"",""rh,sq"",""pa,rh"",""pa,sq"",""pa,re"",""sq,pa"",""re,sq"",""sq,rh""]"	"[[0,0],[2,1],[1,2]]"	"""driving adults crazy"""	""""""	"""31"""	"""f"""	"24856"	"0"	"1"	"0"	"3"	"3"	"3"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3WI0P0II61SY5YVGZQEMZUTVHADDR7"	"A25ROS9CH7PSFZ"	"Approved"	"Mon Jun 01 19:55:01 PDT 2015"	"Mon Jun 01 03:13:06 PDT 2015"	"Mon Jun 01 03:15:01 PDT 2015"	"Mon Jun 01 11:18:26 PDT 2015"	""	""	""	""	"[8,6,5,7,2,1,3,0,4,11,9,10]"	"[1,1,0,0,0,1,0,0,0,1,1,1]"	"[0,1,0,0,0,0,1,0,1,1,1,1]"	"[0,1,1,0,0,1,1,0,0,1,1,1]"	"[0,1,0,1,0,1,1,0,0,1,1,1]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""rh,pa"",""rh,sq"",""re,pa"",""rh,re"",""sq,pa"",""sq,rh"",""re,sq"",""sq,re"",""re,rh"",""pa,rh"",""pa,sq"",""pa,re""]"	"[[1,0],[2,1],[3,1]]"	"""shapes"""	""""""	"""53"""	"""f"""	"21375"	"0"	"1"	"0"	"4"	"3"	"3"
"3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3ES1UQ6TFXN792G5BPH8S45TNH2LMT"	"Geometry - yes or no"	"Short and fun! A 2-3 minute game about geometry"	"experiment, psychology, game, geometry"	"$0.25"	"Mon Jun 01 03:07:55 PDT 2015"	"180"	"0"	"0"	"180"	"Reviewable"	"NotReviewed"	"1 passive"	"600"	"60000"	"Mon Jun 08 03:07:55 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VDI8GSXAFTSCTSHC54SPE6071GG8O"	"3KB8R4ZV1E7E1BOI5JT450ROCGQGB7"	"A18LPAFMK1B06K"	"Approved"	"Mon Jun 01 19:55:21 PDT 2015"	"Mon Jun 01 03:10:57 PDT 2015"	"Mon Jun 01 03:15:21 PDT 2015"	"Mon Jun 01 11:18:26 PDT 2015"	""	""	""	""	"[11,1,3,9,8,0,2,6,7,4,5,10]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[0,0,0,0,0,0,0,0,0,0,0,0]"	"[0,0,1,1,0,1,0,0,0,0,0,0]"	"[1,0,0,1,0,0,0,0,0,1,0,0]"	"[""sq,re"",""sq,rh"",""sq,pa"",""re,sq"",""re,rh"",""re,pa"",""rh,sq"",""rh,re"",""rh,pa"",""pa,sq"",""pa,re"",""pa,rh""]"	"[""pa,rh"",""sq,rh"",""re,sq"",""pa,sq"",""rh,pa"",""sq,re"",""sq,pa"",""rh,sq"",""rh,re"",""re,rh"",""re,pa"",""pa,re""]"	"[[0,1],[2,0],[3,2]]"	"""geometry"""	""""""	"""26"""	"""m"""	"43759"	"0"	"1"	"0"	"4"	"3"	"2"
